mode,availability,source_pu,source_vuf_percent,customer,bus,phase,original_phase_voltage_V,customer_voltage_V,customer_vmin_V,va_pn_V,vb_pn_V,vc_pn_V,neutral_V,vuf_percent,vmax_pg_V,vmax_pn_V
mean_vv_vw,0.0,1.0,1.0,ld2186_load_b,b1754,b,244.94595772972087,244.94595772972087,241.51051720289607,243.9329835867813,244.94595772972087,241.51051720289607,0.32076326479210576,0.9549091180104183,244.84380975815031,244.94595772972087
mean_vv_vw,0.0,1.0,1.0,ld248_load_b,b2560,b,244.9947864086518,244.9947864086518,241.4754078496624,244.455288993334,244.9947864086518,241.4754078496624,0.12510058889306738,0.9752816216010554,244.96236272970037,244.9947864086518
mean_vv_vw,0.0,1.0,1.0,ld24_load_a,b1044,a,244.18489414375748,244.97112096443027,241.49165808984682,244.18489414375748,244.97112096443027,241.49165808984682,0.225938550386086,0.96447816204429,244.90046711745026,244.97112096443027
mean_vv_vw,0.0,1.0,1.0,ld2804_load_c,b2443,c,241.4961847899437,244.96575479040598,241.4961847899437,244.16081857866934,244.96575479040598,241.4961847899437,0.23581436708820122,0.9638887193091754,244.89428873887755,244.96575479040598
mean_vv_vw,0.0,1.0,1.0,ld626_load_c,b2055,c,241.51315304349046,244.9425205773909,241.51315304349046,243.90334798904587,244.9425205773909,241.51315304349046,0.3320508473662807,0.9538489427777719,244.8369750497394,244.9425205773909
mean_vv_vw,0.0,1.0,1.0,ld868_load_a,b2190,a,244.08939861667434,244.95797294978271,241.50231057903395,244.08939861667434,244.95797294978271,241.50231057903395,0.2628039019112981,0.9612288087727046,244.87849331397035,244.95797294978271
worst_vv_vw,0.0,1.0,1.0,ld1291_load_b,b828,b,244.98289171840958,244.98289171840958,241.47469440716054,244.538019295201,244.98289171840958,241.47469440716054,0.09693520802044177,0.9804188856773823,244.97148472515923,244.98289171840958
worst_vv_vw,0.0,1.0,1.0,ld1446_load_c,b260,c,241.47447087235935,244.97025943968944,241.47447087235935,244.3945985798999,244.97025943968944,241.47447087235935,0.14582792756793098,0.9744059884312858,244.9374656726807,244.97025943968944
worst_vv_vw,0.0,1.0,1.0,ld1668_load_a,b605,a,244.51808038062143,244.99598314764586,241.45498782641553,244.51808038062143,244.99598314764586,241.45498782641553,0.09588982558280923,0.9777798780397052,244.96922330272585,244.99598314764586
worst_vv_vw,0.0,1.0,1.0,ld1895_load_b,b1804,b,244.93327835601661,244.93327835601661,241.4769251195437,244.0059531347189,244.93327835601661,241.4769251195437,0.282722988186331,0.9587700586756218,244.8424628938433,244.93327835601661
worst_vv_vw,0.0,1.0,1.0,ld1970_load_c,b2492,c,241.49029234054248,244.91658990392727,241.49029234054248,243.9327961102141,244.91658990392727,241.49029234054248,0.3125447080398071,0.957036918085952,244.82343528523336,244.91658990392727
worst_vv_vw,0.0,1.0,1.0,ld2050_load_a,b1821,a,244.08977179561967,244.9384434487208,241.48022716442668,244.08977179561967,244.9384434487208,241.48022716442668,0.254099199158995,0.9624346753692281,244.86308249790903,244.9384434487208
worst_vv_vw,0.0,1.0,1.0,ld2186_load_b,b1754,b,244.916845643676,244.916845643676,241.48761473649427,243.91068426935826,244.916845643676,241.48761473649427,0.3192243245634594,0.9558615246706641,244.8193039273955,244.916845643676
worst_vv_vw,0.0,1.0,1.0,ld248_load_b,b2560,b,244.9818253097051,244.9818253097051,241.4651851699781,244.4454256457785,244.9818253097051,241.4651851699781,0.12473878858842115,0.9756710264387821,244.95075020503953,244.9818253097051
worst_vv_vw,0.0,1.0,1.0,ld24_load_a,b1044,a,244.16839673806967,244.94955166088468,241.4746755503172,244.16839673806967,244.94955166088468,241.4746755503172,0.2249356436458255,0.9651631348834615,244.88198770235456,244.94955166088468
worst_vv_vw,0.0,1.0,1.0,ld2804_load_c,b2443,c,241.47909328763677,244.94404237278226,241.47909328763677,244.14422296700502,244.94404237278226,241.47909328763677,0.23483484030411406,0.9645782418787999,244.875686960214,244.94404237278226
worst_vv_vw,0.0,1.0,1.0,ld626_load_c,b2055,c,241.4896306313899,244.91261695192458,241.4896306313899,243.88044211244548,244.91261695192458,241.4896306313899,0.3304612743543927,0.9548299352489614,244.81183591452847,244.91261695192458
worst_vv_vw,0.0,1.0,1.0,ld868_load_a,b2190,a,244.07123191274195,244.93421736058377,241.48361335771125,244.07123191274195,244.93421736058377,241.48361335771125,0.2616899216251744,0.9619897946069936,244.8582552870297,244.93421736058377
sequence_vv_vw,0.0,1.0,1.0,ld1291_load_b,b828,b,244.9907014895398,244.9907014895398,241.48084423985765,244.5438519136635,244.9907014895398,241.48084423985765,0.09694247028539171,0.9802046261421317,244.97901106212828,244.9907014895398
sequence_vv_vw,0.0,1.0,1.0,ld1446_load_c,b260,c,241.48496787398525,244.98357887727778,241.48496787398525,244.40471054973278,244.98357887727778,241.48496787398525,0.14616726686263015,0.9740063695502299,244.94938646381243,244.98357887727778
sequence_vv_vw,0.0,1.0,1.0,ld1668_load_a,b605,a,244.5272574772027,245.00801829246026,241.46449119700307,244.5272574772027,245.00801829246026,241.46449119700307,0.09623894128483347,0.9774203232115057,244.98008740310902,245.00801829246026
sequence_vv_vw,0.0,1.0,1.0,ld1895_load_b,b1804,b,244.9606605187867,244.9606605187867,241.49847171289045,244.02693802368503,244.9606605187867,241.49847171289045,0.2842085956274558,0.9578794525749839,244.86557422808156,244.9606605187867
sequence_vv_vw,0.0,1.0,1.0,ld1970_load_c,b2492,c,241.51217425085534,244.94441229135782,241.51217425085534,243.95408486682558,244.94441229135782,241.51217425085534,0.31394791280641066,0.956131257147913,244.84692357224264,244.94441229135782
sequence_vv_vw,0.0,1.0,1.0,ld2050_load_a,b1821,a,244.10794607259567,244.96219779015937,241.49892622524794,244.10794607259567,244.96219779015937,241.49892622524794,0.25523649945834825,0.9616737918377499,244.88331907686165,244.96219779015937
sequence_vv_vw,0.0,1.0,1.0,ld2186_load_b,b1754,b,244.94609159431957,244.94609159431957,241.510622515816,243.93308612404996,244.94609159431957,241.510622515816,0.320770464350307,0.954904742653966,244.8439224822364,244.94609159431957
sequence_vv_vw,0.0,1.0,1.0,ld248_load_b,b2560,b,244.99484691099565,244.99484691099565,241.4754555594672,244.4553350113419,244.99484691099565,241.4754555594672,0.12510231632551908,0.9752798046712307,244.96241690238622,244.99484691099565
sequence_vv_vw,0.0,1.0,1.0,ld24_load_a,b1044,a,244.18497073472378,244.97122111612745,241.49173693997054,244.18497073472378,244.97122111612745,241.49173693997054,0.22594329840903463,0.9644749832834634,244.9005529116022,244.97122111612745
sequence_vv_vw,0.0,1.0,1.0,ld2804_load_c,b2443,c,241.49626414574368,244.96585560656789,241.49626414574368,244.16089562571258,244.96585560656789,241.49626414574368,0.23581900442331977,0.9638855194403265,244.89437510111026,244.96585560656789
sequence_vv_vw,0.0,1.0,1.0,ld626_load_c,b2055,c,241.51326114780642,244.94265800531005,241.51326114780642,243.90345325890303,244.94265800531005,241.51326114780642,0.3320582796819785,0.9538444386698633,244.83709062438092,244.94265800531005
sequence_vv_vw,0.0,1.0,1.0,ld868_load_a,b2190,a,244.08948251561276,244.9580826735597,241.5023969355098,244.08948251561276,244.9580826735597,241.5023969355098,0.2628091385720129,0.9612252965509219,244.87858680809512,244.9580826735597
sequence_droop,0.0,1.0,1.0,ld1291_load_b,b828,b,244.7637065819285,244.7637065819285,241.97940267260637,244.2992364230776,244.7637065819285,241.97940267260637,0.09879101466521803,0.7883606875059153,244.75808186956502,244.7637065819285
sequence_droop,0.0,1.0,1.0,ld1446_load_c,b260,c,242.0455654305328,244.70101596916598,242.0455654305328,244.17261682276538,244.70101596916598,242.0455654305328,0.14813537640341523,0.762994415884133,244.68319753792662,244.70101596916598
sequence_droop,0.0,1.0,1.0,ld1668_load_a,b605,a,244.33778884865012,244.76104993567787,241.94381773679825,244.33778884865012,244.76104993567787,241.94381773679825,0.09711255303476682,0.7979558963690504,244.74707299988123,244.76104993567787
sequence_droop,0.0,1.0,1.0,ld1895_load_b,b1804,b,244.50358315260848,244.50358315260848,242.27435920901982,243.8087875195562,244.50358315260848,242.27435920901982,0.28497296933712585,0.6766452855794114,244.45449993128813,244.50358315260848
sequence_droop,0.0,1.0,1.0,ld1970_load_c,b2492,c,242.32841022854316,244.4717861717842,242.32841022854316,243.71161193847345,244.4717861717842,242.32841022854316,0.31570336631957474,0.6588065029224425,244.42111099619655,244.4717861717842
sequence_droop,0.0,1.0,1.0,ld2050_load_a,b1821,a,243.8809399769082,244.55095403781678,242.2222058146124,243.8809399769082,244.55095403781678,242.2222058146124,0.25687746277755863,0.6970236105547927,244.50978585507568,244.55095403781678
sequence_droop,0.0,1.0,1.0,ld2186_load_b,b1754,b,244.46610817498964,244.46610817498964,242.32880459365833,243.6990192794943,244.46610817498964,242.32880459365833,0.3223112154170979,0.6577677155455445,244.4123499276205,244.46610817498964
sequence_droop,0.0,1.0,1.0,ld248_load_b,b2560,b,244.7258256808969,244.7258256808969,242.00164730754216,244.24366142226017,244.7258256808969,242.00164730754216,0.12662798702581235,0.7778800172755855,244.70915755329918,244.7258256808969
sequence_droop,0.0,1.0,1.0,ld24_load_a,b1044,a,243.96467125903993,244.58427748246334,242.17845945315713,243.96467125903993,244.58427748246334,242.17845945315713,0.22727307158263493,0.7127732116181755,244.54803668613735,244.58427748246334
sequence_droop,0.0,1.0,1.0,ld2804_load_c,b2443,c,242.19758159845657,244.57326466226235,242.19758159845657,243.93182947019292,244.57326466226235,242.19758159845657,0.2374525581780767,0.7063821137405918,244.53648953579938,244.57326466226235
sequence_droop,0.0,1.0,1.0,ld626_load_c,b2055,c,242.34738865323695,244.4520905104004,242.34738865323695,243.6666835779183,244.4520905104004,242.34738865323695,0.3336550188135955,0.6510773941160267,244.39646734375327,244.4520905104004
sequence_droop,0.0,1.0,1.0,ld868_load_a,b2190,a,243.85604564084608,244.54263787779593,242.23643841613168,243.85604564084608,244.54263787779593,242.23643841613168,0.2646782433609583,0.6922959131785651,244.50106197296216,244.54263787779593
unity,0.5,1.0,1.0,ld1291_load_b,b828,b,245.35520586725016,245.35520586725016,241.81902204139854,244.9269430427963,245.35520586725016,241.81902204139854,0.09402908684892135,0.9812271452190068,245.3428366596604,245.35520586725016
unity,0.5,1.0,1.0,ld1446_load_c,b260,c,241.86984499385125,245.4152922088374,241.86984499385125,244.87107812813449,245.4152922088374,241.86984499385125,0.13429157197560915,0.9767763955112799,245.37728023889542,245.4152922088374
unity,0.5,1.0,1.0,ld1668_load_a,b605,a,244.92264101499683,245.37193122767977,241.7859555214211,244.92264101499683,245.37193122767977,241.7859555214211,0.08677031872653698,0.9800664858164586,245.3407684935336,245.37193122767977
unity,0.5,1.0,1.0,ld1895_load_b,b1804,b,245.5768330525878,245.5768330525878,242.01480705495695,244.7188290879705,245.5768330525878,242.01480705495695,0.2516571028796079,0.9649513472985262,245.47002583072364,245.5768330525878
unity,0.5,1.0,1.0,ld1970_load_c,b2492,c,242.06829426550124,245.60168175916638,242.06829426550124,244.68799673122936,245.60168175916638,242.06829426550124,0.28004916216079057,0.9631219586246257,245.4923157035478,245.60168175916638
unity,0.5,1.0,1.0,ld2050_load_a,b1821,a,244.7510773455895,245.54035224548963,241.99118237765583,244.7510773455895,245.54035224548963,241.99118237765583,0.22769009453166905,0.9675886544485175,245.45184004305682,245.54035224548963
unity,0.5,1.0,1.0,ld2186_load_b,b1754,b,245.61213602215287,245.61213602215287,242.07049660855733,244.67989611592748,245.61213602215287,242.07049660855733,0.28505391411915265,0.9623589129091977,245.4973179044188,245.61213602215287
unity,0.5,1.0,1.0,ld248_load_b,b2560,b,245.39799604074358,245.39799604074358,241.83269241709633,244.8925399534326,245.39799604074358,241.83269241709633,0.11385772634074527,0.9780914728183461,245.36185716543005,245.39799604074358
